dataset,method,metric,mean,std,min,max,ci_low,ci_high,n
lastfm,popularity,rr,0.05060504201680672,0.003253677833118433,0.05,0.07142857142857142,0.04999999999999999,0.051714285714285706,50
lastfm,popularity,hit10,0.0,0.0,0.0,0.0,0.0,0.0,50
lastfm,popularity,ndcg10,0.0,0.0,0.0,0.0,0.0,0.0,50
lastfm,popularity,mean_top10_popularity_pct,0.00010929949855645041,0.00019502717604668628,3.418933292812643e-05,0.000928430329737122,6.224775869928583e-05,0.00016820581978422723,50
lastfm,popularity,coverage,0.00024312229811352293,0.0,0.00024312229811352293,0.00024312229811352293,,,50
lastfm,cooccurrence,rr,0.2816767676767677,0.4079578058164116,0.05,1.0,0.17135353535353537,0.3960808080808081,50
lastfm,cooccurrence,hit10,0.26,0.4430874976934521,0.0,1.0,0.14,0.4,50
lastfm,cooccurrence,ndcg10,0.24602059991327963,0.43009994754909436,0.0,1.0,0.14,0.3660205999132796,50
lastfm,cooccurrence,mean_top10_popularity_pct,0.009978361951071265,0.010586169000594217,3.418933292812643e-05,0.04045585777237502,0.007241532061996657,0.012957174441574223,50
lastfm,cooccurrence,coverage,0.0016638682277144224,0.0,0.0016638682277144224,0.0016638682277144224,,,50
lastfm,openai_minimal,rr,0.589346244398876,0.4390458881910801,0.05,1.0,0.46401206425153796,0.7113029363180677,50
lastfm,openai_minimal,hit10,0.78,0.41845195759648024,0.0,1.0,0.66,0.9,50
lastfm,openai_minimal,ndcg10,0.6214248515943647,0.4239414255177783,0.0,1.0,0.5082570162644325,0.7321515220387771,50
lastfm,openai_minimal,mean_top10_popularity_pct,0.038825239325330496,0.040234240500524744,4.0267436559793347e-05,0.12253760826622095,0.02813357734386871,0.0502876599301018,50
lastfm,openai_minimal,coverage,0.001747441517690946,0.0,0.001747441517690946,0.001747441517690946,,,50
lastfm,openai_profile,rr,0.5390148544266191,0.4256777156608401,0.05,1.0,0.42057948603683903,0.6556674093879975,50
lastfm,openai_profile,hit10,0.78,0.4184519575964803,0.0,1.0,0.66,0.88,50
lastfm,openai_profile,ndcg10,0.5807844116872701,0.41181307240632886,0.0,1.0,0.4680232537279377,0.6937786139247,50
lastfm,openai_profile,mean_top10_popularity_pct,0.03979614040419389,0.03864554037776873,3.6468621790001524e-05,0.12253760826622093,0.029565086992858224,0.05098284075368485,50
lastfm,openai_profile,coverage,0.001982966243988421,0.0,0.001982966243988421,0.001982966243988421,,,50
lastfm,claude_minimal,rr,0.5724486232721526,0.44144618043071215,0.05,1.0,0.44788334704511173,0.6969795411288058,50
lastfm,claude_minimal,hit10,0.74,0.44308749769345207,0.0,1.0,0.62,0.86,50
lastfm,claude_minimal,ndcg10,0.5966799995367115,0.4363066162817136,0.0,1.0,0.47476720849891274,0.7133577573304383,50
lastfm,claude_minimal,mean_top10_popularity_pct,0.03611562072633338,0.039073193982039955,3.9507673605834977e-05,0.12253760826622093,0.026030800030390523,0.04680059261510409,50
lastfm,claude_minimal,coverage,0.001838612379483517,0.0,0.001838612379483517,0.001838612379483517,,,50
lastfm,claude_profile,rr,0.5444290154290153,0.42479149304095054,0.05,1.0,0.42837677877677877,0.654953841991342,50
lastfm,claude_profile,hit10,0.78,0.41845195759648024,0.0,1.0,0.66,0.88,50
lastfm,claude_profile,ndcg10,0.5857911935667384,0.4115347184763229,0.0,1.0,0.46787648926328484,0.696872996185395,50
lastfm,claude_profile,mean_top10_popularity_pct,0.03971628931773287,0.03845882887969402,4.406625132958517e-05,0.12253760826622093,0.028580015575140557,0.050685200957301314,50
lastfm,claude_profile,coverage,0.0019525759567242309,0.0,0.0019525759567242309,0.0019525759567242309,,,50
