dataset,example_id,method,rr,hit10,ndcg10,mean_top10_popularity_pct,target_artist_in_profile
mpd,mpd::0,popularity,0.05,0.0,0.0,0.00014997794441993828,0.0
mpd,mpd::0,cooccurrence,0.25,1.0,0.43067655807339306,0.008886928392883398,0.0
mpd,mpd::0,openai_minimal,0.25,1.0,0.43067655807339306,0.006737244522864285,0.0
mpd,mpd::0,openai_profile,0.1,1.0,0.2890648263178879,0.008942802529039848,0.0
mpd,mpd::0,claude_minimal,1.0,1.0,1.0,0.005410968975150712,0.0
mpd,mpd::0,claude_profile,1.0,1.0,1.0,0.008942802529039848,0.0
mpd,mpd::1,popularity,0.05,0.0,0.0,0.00013233348037053376,1.0
mpd,mpd::1,cooccurrence,0.5,1.0,0.6309297535714575,0.1453992059991178,1.0
mpd,mpd::1,openai_minimal,1.0,1.0,1.0,0.12543743567122484,1.0
mpd,mpd::1,openai_profile,1.0,1.0,1.0,0.14548742831936484,1.0
mpd,mpd::1,claude_minimal,1.0,1.0,1.0,0.12538450227907666,1.0
mpd,mpd::1,claude_profile,1.0,1.0,1.0,0.14550801352742246,1.0
mpd,mpd::2,popularity,0.05,0.0,0.0,0.00013821496838700194,1.0
mpd,mpd::2,cooccurrence,1.0,1.0,1.0,0.03368622261432142,1.0
mpd,mpd::2,openai_minimal,1.0,1.0,1.0,0.03376562270254374,1.0
mpd,mpd::2,openai_profile,1.0,1.0,1.0,0.033774444934568444,1.0
mpd,mpd::2,claude_minimal,1.0,1.0,1.0,0.03374209675047787,1.0
mpd,mpd::2,claude_profile,1.0,1.0,1.0,0.03374209675047787,1.0
mpd,mpd::3,popularity,0.05,0.0,0.0,0.00013821496838700194,0.0
mpd,mpd::3,cooccurrence,0.05,0.0,0.0,0.010783708278194384,0.0
mpd,mpd::3,openai_minimal,1.0,1.0,1.0,0.11081605646228498,0.0
mpd,mpd::3,openai_profile,0.5,1.0,0.6309297535714575,0.1108631083664167,0.0
mpd,mpd::3,claude_minimal,0.5,1.0,0.6309297535714575,0.11086310836641673,0.0
mpd,mpd::3,claude_profile,0.5,1.0,0.6309297535714575,0.11088957506249082,0.0
mpd,mpd::4,popularity,0.05263157894736842,0.0,0.0,0.0007116600499926481,0.0
mpd,mpd::4,cooccurrence,0.05,0.0,0.0,0.06483458314953683,0.0
mpd,mpd::4,openai_minimal,1.0,1.0,1.0,0.04635494780179386,0.0
mpd,mpd::4,openai_profile,0.09090909090909091,0.0,0.0,0.06483458314953684,0.0
mpd,mpd::4,claude_minimal,0.2,1.0,0.38685280723454163,0.07435965299220704,0.0
mpd,mpd::4,claude_profile,0.16666666666666666,1.0,0.3562071871080222,0.07481252756947507,0.0
mpd,mpd::5,popularity,0.05,0.0,0.0,0.0006910748419350096,0.0
mpd,mpd::5,cooccurrence,0.05,0.0,0.0,0.007178356124099397,0.0
mpd,mpd::5,openai_minimal,0.05,0.0,0.0,0.008378179679458904,0.0
mpd,mpd::5,openai_profile,0.05,0.0,0.0,0.012492280546978384,0.0
mpd,mpd::5,claude_minimal,0.05,0.0,0.0,0.007237171004264078,0.0
mpd,mpd::5,claude_profile,0.05,0.0,0.0,0.009386854874283193,0.0
mpd,mpd::6,popularity,0.05,0.0,0.0,0.00026760770474930156,0.0
mpd,mpd::6,cooccurrence,0.1,1.0,0.2890648263178879,0.1138744302308484,0.0
mpd,mpd::6,openai_minimal,0.16666666666666666,1.0,0.3562071871080222,0.13526540214674315,0.0
mpd,mpd::6,openai_profile,0.09090909090909091,0.0,0.0,0.039717688575209534,0.0
mpd,mpd::6,claude_minimal,0.2,1.0,0.38685280723454163,0.1317188648728128,0.0
mpd,mpd::6,claude_profile,0.1,1.0,0.2890648263178879,0.13171886487281284,0.0
mpd,mpd::7,popularity,0.05,0.0,0.0,0.00032054109689751506,0.0
mpd,mpd::7,cooccurrence,0.05,0.0,0.0,0.13479488310542567,0.0
mpd,mpd::7,openai_minimal,0.07142857142857142,0.0,0.0,0.12250845463902368,0.0
mpd,mpd::7,openai_profile,0.06666666666666667,0.0,0.0,0.1347948831054257,0.0
mpd,mpd::7,claude_minimal,0.06666666666666667,0.0,0.0,0.10411410086751952,0.0
mpd,mpd::7,claude_profile,0.05,0.0,0.0,0.04722540802823115,0.0
mpd,mpd::8,popularity,0.05,0.0,0.0,0.0018262020291133657,0.0
mpd,mpd::8,cooccurrence,0.05,0.0,0.0,0.04448463461255698,0.0
mpd,mpd::8,openai_minimal,0.09090909090909091,0.0,0.0,0.044484634612556986,0.0
mpd,mpd::8,openai_profile,0.09090909090909091,0.0,0.0,0.044484634612556986,0.0
mpd,mpd::8,claude_minimal,0.09090909090909091,0.0,0.0,0.044484634612556986,0.0
mpd,mpd::8,claude_profile,0.09090909090909091,0.0,0.0,0.044484634612556986,0.0
mpd,mpd::9,popularity,0.05555555555555555,0.0,0.0,0.00013233348037053376,0.0
mpd,mpd::9,cooccurrence,0.05,0.0,0.0,0.08521687987060728,0.0
mpd,mpd::9,openai_minimal,0.2,1.0,0.38685280723454163,0.09703867078370829,0.0
mpd,mpd::9,openai_profile,0.16666666666666666,1.0,0.3562071871080222,0.09703867078370829,0.0
mpd,mpd::9,claude_minimal,0.25,1.0,0.43067655807339306,0.09707101896779888,0.0
mpd,mpd::9,claude_profile,0.25,1.0,0.43067655807339306,0.09707101896779888,0.0
mpd,mpd::10,popularity,0.05,0.0,0.0,0.00013233348037053376,0.0
mpd,mpd::10,cooccurrence,0.05,0.0,0.0,0.0013939126599029554,0.0
mpd,mpd::10,openai_minimal,0.3333333333333333,1.0,0.5,0.10054697838553155,0.0
mpd,mpd::10,openai_profile,0.3333333333333333,1.0,0.5,0.10138214968387002,0.0
mpd,mpd::10,claude_minimal,0.5,1.0,0.6309297535714575,0.10039994118511986,0.0
mpd,mpd::10,claude_profile,0.5,1.0,0.6309297535714575,0.10080576385825617,0.0
mpd,mpd::11,popularity,0.05,0.0,0.0,0.00013527422437876785,0.0
mpd,mpd::11,cooccurrence,0.05,0.0,0.0,0.10409939714747833,0.0
mpd,mpd::11,openai_minimal,1.0,1.0,1.0,0.11981179238347302,0.0
mpd,mpd::11,openai_profile,0.125,1.0,0.31546487678572877,0.11982649610351419,0.0
mpd,mpd::11,claude_minimal,0.16666666666666666,1.0,0.3562071871080222,0.11980591089545656,0.0
mpd,mpd::11,claude_profile,0.125,1.0,0.31546487678572877,0.11980591089545656,0.0
mpd,mpd::12,popularity,0.08333333333333333,0.0,0.0,0.00038523746507866495,0.0
mpd,mpd::12,cooccurrence,0.05,0.0,0.0,0.041746801940891046,0.0
mpd,mpd::12,openai_minimal,0.058823529411764705,0.0,0.0,0.041746801940891046,0.0
mpd,mpd::12,openai_profile,0.06666666666666667,0.0,0.0,0.041746801940891046,0.0
mpd,mpd::12,claude_minimal,0.125,1.0,0.31546487678572877,0.02243493603881782,0.0
mpd,mpd::12,claude_profile,0.2,1.0,0.38685280723454163,0.02243493603881782,0.0
mpd,mpd::13,popularity,0.05,0.0,0.0,0.002581973239229525,1.0
mpd,mpd::13,cooccurrence,0.09090909090909091,0.0,0.0,0.14736362299661815,1.0
mpd,mpd::13,openai_minimal,0.09090909090909091,0.0,0.0,0.14736362299661815,1.0
mpd,mpd::13,openai_profile,0.09090909090909091,0.0,0.0,0.14736362299661815,1.0
mpd,mpd::13,claude_minimal,0.09090909090909091,0.0,0.0,0.14736362299661815,1.0
mpd,mpd::13,claude_profile,0.09090909090909091,0.0,0.0,0.14736362299661815,1.0
mpd,mpd::14,popularity,0.05,0.0,0.0,0.0040288192912806935,1.0
mpd,mpd::14,cooccurrence,0.09090909090909091,0.0,0.0,0.1331745331568887,1.0
mpd,mpd::14,openai_minimal,1.0,1.0,1.0,0.21662696662255548,1.0
mpd,mpd::14,openai_profile,0.16666666666666666,1.0,0.3562071871080222,0.21662696662255548,1.0
mpd,mpd::14,claude_minimal,0.2,1.0,0.38685280723454163,0.21662696662255548,1.0
mpd,mpd::14,claude_profile,0.2,1.0,0.38685280723454163,0.22925158064990447,1.0
mpd,mpd::16,popularity,0.1,1.0,0.2890648263178879,0.0017673871489486842,0.0
mpd,mpd::16,cooccurrence,0.05,0.0,0.0,0.11699161887957651,0.0
mpd,mpd::16,openai_minimal,0.09090909090909091,0.0,0.0,0.11699161887957654,0.0
mpd,mpd::16,openai_profile,0.09090909090909091,0.0,0.0,0.11699161887957654,0.0
mpd,mpd::16,claude_minimal,0.09090909090909091,0.0,0.0,0.11699161887957654,0.0
mpd,mpd::16,claude_profile,0.09090909090909091,0.0,0.0,0.11699161887957651,0.0
mpd,mpd::17,popularity,0.05,0.0,0.0,0.0002970151448316424,0.0
mpd,mpd::17,cooccurrence,0.05,0.0,0.0,0.007054844875753566,0.0
mpd,mpd::17,openai_minimal,0.05263157894736842,0.0,0.0,0.007284222908395824,0.0
mpd,mpd::17,openai_profile,0.05263157894736842,0.0,0.0,0.013074547860608734,0.0
mpd,mpd::17,claude_minimal,0.05,0.0,0.0,0.007934127334215555,0.0
mpd,mpd::17,claude_profile,0.05263157894736842,0.0,0.0,0.013074547860608734,0.0
mpd,mpd::18,popularity,0.05,0.0,0.0,0.00015880017644464048,0.0
mpd,mpd::18,cooccurrence,0.06666666666666667,0.0,0.0,0.006801940891045434,0.0
