dataset,method,metric,mean,std,min,max,ci_low,ci_high,n
mpd,popularity,rr,0.06650451303082881,0.06453276054064493,0.05,0.5,0.05465700965700965,0.08677119313435101,50
mpd,popularity,hit10,0.1,0.30304576336566325,0.0,1.0,0.02,0.18,50
mpd,popularity,ndcg10,0.03574378117686018,0.11679612051125843,0.0,0.6309297535714575,0.005781296526357758,0.07148756235372036,50
mpd,popularity,mean_top10_popularity_pct,0.001196177032789296,0.0019740114997567142,0.00013233348037053376,0.008798706072636376,0.0007092236435818262,0.0017595706513747974,50
mpd,popularity,coverage,0.001352702464271011,0.0,0.001352702464271011,0.001352702464271011,,,50
mpd,cooccurrence,rr,0.09377369646177697,0.14931436104495607,0.05,1.0,0.06147244840427889,0.14180606034832036,50
mpd,cooccurrence,hit10,0.12,0.32826072265931594,0.0,1.0,0.04,0.22,50
mpd,cooccurrence,ndcg10,0.06141714557061226,0.18840230741384262,0.0,1.0,0.016350587306158695,0.11890460579120449,50
mpd,cooccurrence,mean_top10_popularity_pct,0.04937909131010145,0.05381510621867869,0.00013233348037053376,0.1792501102779003,0.03482170563152477,0.06497616968092926,50
mpd,cooccurrence,coverage,0.009880609304240428,0.0,0.009880609304240428,0.009880609304240428,,,50
mpd,openai_minimal,rr,0.32880274747612204,0.35968771433669594,0.05,1.0,0.23546624544616032,0.4342605481721579,50
mpd,openai_minimal,hit10,0.64,0.48487322138506117,0.0,1.0,0.5,0.7604999999999973,50
mpd,openai_minimal,ndcg10,0.3793692375003716,0.3722792338756292,0.0,1.0,0.27680201298292423,0.48460617411099144,50
mpd,openai_minimal,mean_top10_popularity_pct,0.08316077047493016,0.06429329778488033,0.004014115571239524,0.24788413468607556,0.06469145860902809,0.10052456991618879,50
mpd,openai_minimal,coverage,0.010939246015409045,0.0,0.010939246015409045,0.010939246015409045,,,50
mpd,openai_profile,rr,0.202538570476651,0.26555976583695756,0.05,1.0,0.13662870134251714,0.2831356638244796,50
mpd,openai_profile,hit10,0.38,0.4903143514780147,0.0,1.0,0.24,0.52,50
mpd,openai_profile,ndcg10,0.20616547716389072,0.3131102182212306,0.0,1.0,0.12833649925802262,0.2982946016222149,50
mpd,openai_profile,mean_top10_popularity_pct,0.0709626819585355,0.06735275653845685,0.002411410086751948,0.24788413468607554,0.05248987795912367,0.08958758417879724,50
mpd,openai_profile,coverage,0.011939069575957185,0.0,0.011939069575957185,0.011939069575957185,,,50
mpd,claude_minimal,rr,0.3117933537051184,0.33265247560498296,0.05,1.0,0.22329130485527549,0.40998984487734474,50
mpd,claude_minimal,hit10,0.66,0.4785181206984065,0.0,1.0,0.54,0.78,50
mpd,claude_minimal,ndcg10,0.37318346500255495,0.34971604214682267,0.0,1.0,0.28081310879696586,0.47022117186039136,50
mpd,claude_minimal,mean_top10_popularity_pct,0.08049204528745774,0.06777095534000623,0.0016262314365534478,0.24788413468607556,0.06239182179091311,0.09965423614174385,50
mpd,claude_minimal,coverage,0.010527553961065694,0.0,0.010527553961065694,0.010527553961065694,,,50
mpd,claude_profile,rr,0.2442039700066016,0.30302010737201324,0.05,1.0,0.16677611898335584,0.330232789359763,50
mpd,claude_profile,hit10,0.54,0.5034574339058885,0.0,1.0,0.4,0.68,50
mpd,claude_profile,ndcg10,0.2850470866309015,0.3337043202517749,0.0,1.0,0.19732382133438928,0.3839143853421601,50
mpd,claude_profile,mean_top10_popularity_pct,0.07473465666813704,0.06613049381280807,0.0018761946772533449,0.24791942361417435,0.056849482429054556,0.09366078076753419,50
mpd,claude_profile,coverage,0.01117449861789096,0.0,0.01117449861789096,0.01117449861789096,,,50
